WKT;OBJECTID_1;Join_Count;TARGET_FID;OBJECTID_2;Join_Cou_1;TARGET_F_1;Join_Cou_2;TARGET_F_2;ScoutID;Datum;Adresse;Postleitza;Ort;Stadtteil;Kaltmiete;Wohnflaech;Grundstuec;Nutzflaech;Zimmer;Schlafzimm;Badezimmer;Gaeste_WC;Haustyp;Etagenanza;Garage_Ste;Anzahl_Gar;Balkon_Ter;Keller;Aufzug;Einbaukuec;Barrierefr;Baujahr;Letzte_Mod;Objektzust;Qualitaet;Heizungsar;Befeuerung;PLZ;Add_;addrtype;addrlocat;OBJECTID;STVdayPege;Ortsname;Adresse_Ge;Email_Kont;Typ;Bemerkung;SCHIsopha;SCHIsophp;SCHfarbwer;esri_oid;SCHanight;SCHpnight;SCHfnight;l_datum;esri_oid_1
"POINT (404022.1088 5662398.1075)";11;0;10;11;0;10;0;11;"67570539";18.12.2012;Altkoetzschenbroda 11 A;"1445";Radebeul;Meissen;"1120,00";"160,00";"200,00";"160,00";"4,0";"4,0";"1,0";"1,0";Reiheneckhaus;"3,0";Garage;"1,0";;Ja;;Ja;;;;Renovierungsbeduerftig;Gehoben;Zentralheizung;Gas;"01445";01445 Radebeul;street_address;RANGE_INTERPOLATED;0;;;;;0;;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (415024.65 5663185.436)";12;0;11;12;1;11;2;12;"67858419";04.01.2013;Georg Estler Str. 2;"1109";Dresden;Klotzsche;"625,00";"69,00";"100,00";"78,00";"1,0";"1,0";"1,0";;Einfamilienhaus freistehend;"2,0";;;;;;;;"1900.0";"2009.0";Neuwertig;Gehoben;Zentralheizung;Gas;"01109";01109 Dresden;street_address;RANGE_INTERPOLATED;0;;;;;0;;4.00000000000;1.00000000000;1016.00000000000;138460.00000000000;2.00000000000;1.00000000000;1016.00000000000;9.00000000000;823790.00000000000
"POINT (418477.4866 5655519.1108)";13;0;12;13;0;12;0;13;"67897596";07.01.2013;Am Wachwitzer Hoehenpark 10;"1326";Dresden;Buehlau Weisser Hirsch;"1400,00";"176,00";"1240,00";"106,00";"4,0";"4,0";"2,0";;Einfamilienhaus freistehend;"2,0";Garage;"2,0";;Ja;;;;"1936.0";"1997.0";Modernisiert;;Zentralheizung;Gas;"01326";01326 Dresden;street_address;ROOFTOP;0;;;;;0;;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (417961.7303 5650474.4059)";14;2;13;14;1;13;14;14;"68229694";04.02.2013;Str. des 17.Juni 34;"1257";Dresden;Leuben;"550,00";"120,00";"0,00";;"3,0";;;"1,0";Einfamilienhaus freistehend;;Aussenstellplatz;"2,0";;Ja;;;;;;Saniert;Normal;Zentralheizung;;"01257";01257 Dresden;street_address;RANGE_INTERPOLATED;1690;>70-75 dB(A);Dresden;"Postfach 120020, D-01001 Dresden";umweltamt@dresden.de;9;kartiert durch LH Dresden;3.00000000000;4.00000000000;3020.00000000000;282278.00000000000;2.00000000000;4.00000000000;3020.00000000000;9.00000000000;824040.00000000000
"POINT (417507.4582 5657557.9582)";15;2;14;15;0;14;0;15;"68582259";25.02.2013;Bautzner Landstr. 11;"1324";Dresden;Buehlau Weisser Hirsch;"1000,00";"126,67";;;"3,0";;;;Einfamilienhaus freistehend;"0,0";;;;;;;;;;Gepflegt;;;;"01324";01324 Dresden;street_address;RANGE_INTERPOLATED;1642;>55-60 dB(A);Dresden;"Postfach 120020, D-01001 Dresden";umweltamt@dresden.de;9;kartiert durch LH Dresden;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (413807.9861 5655638.1936)";16;2;15;16;0;15;0;16;"69316712";18.04.2013;Fetscherstr. 25;"1307";Dresden;Striesen Sued;"732,62";"104,66";"55,00";;"3,0";"3,0";"2,0";;Reihenmittelhaus;;Tiefgarage;;;Ja;;;;"1995.0";;;Normal;Zentralheizung;;"01307";01307 Dresden;street_address;ROOFTOP;1690;>70-75 dB(A);Dresden;"Postfach 120020, D-01001 Dresden";umweltamt@dresden.de;9;kartiert durch LH Dresden;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (418917.0118 5655848.1867)";17;0;16;17;0;16;0;17;"69390683";24.04.2013;Karpatenstr. 19;"1326";Dresden;Buehlau Weisser Hirsch;"1950,00";"195,00";"1350,00";"230,00";"3,0";"3,0";"2,0";;Einfamilienhaus freistehend;;;;;;;;;"1984.0";;Saniert;;Zentralheizung;;"01326";01326 Dresden;street_address;ROOFTOP;0;;;;;0;;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (416563.499 5667059.7422)";18;0;17;18;0;17;0;18;"69355198";29.04.2013;An den Teichen 21;"1108";Dresden;Langebrueck;"1700,00";"212,00";"2500,00";"50,00";"3,0";"3,0";"2,0";;Einfamilienhaus freistehend;"2,0";;;;Ja;;;;"1932.0";"1999.0";Neuwertig;Gehoben;Zentralheizung;Oel;"01108";01108 Dresden;street_address;RANGE_INTERPOLATED;0;;;;;0;;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (411740.105 5652706.5626)";19;2;18;19;0;18;0;19;"69382202";07.05.2013;Suedhoehe 29;"1217";Zschertnitz;Kleinpestitz Mockritz;"1810,00";"174,00";"2372,00";"230,00";"5,0";"5,0";"2,0";"1,0";Reiheneckhaus;"4,0";Garage;"2,0";;;;;;"2013.0";;Erstbezug;Gehoben;Zentralheizung;;"01217";01217 Zschertnitz;street_address;RANGE_INTERPOLATED;1659;>60-65 dB(A);Dresden - Ballungsraum;"Postfach 120020, D-01001 Dresden";umweltamt@dresden.de;5;kartiert durch LH Dresden;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (411740.105 5652706.5626)";20;2;19;20;0;19;0;20;"69358888";07.05.2013;Suedhoehe 29;"1217";Zschertnitz;Kleinpestitz Mockritz;"1810,00";"174,00";"2372,00";"230,00";"5,0";"5,0";"2,0";"1,0";Reiheneckhaus;"4,0";Garage;"2,0";;;;;;"2013.0";;Erstbezug;Gehoben;Zentralheizung;;"01217";01217 Zschertnitz;street_address;RANGE_INTERPOLATED;1659;>60-65 dB(A);Dresden - Ballungsraum;"Postfach 120020, D-01001 Dresden";umweltamt@dresden.de;5;kartiert durch LH Dresden;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (411740.105 5652706.5626)";21;2;20;21;0;20;0;21;"69381639";07.05.2013;Suedhoehe 29;"1217";Zschertnitz;Kleinpestitz Mockritz;"1764,00";"182,00";"2372,00";"237,00";"3,0";"3,0";"2,0";"1,0";Reihenmittelhaus;"4,0";Garage;"2,0";;;;;;"2013.0";;Erstbezug;Gehoben;Zentralheizung;Erdwaerme;"01217";01217 Zschertnitz;street_address;RANGE_INTERPOLATED;1659;>60-65 dB(A);Dresden - Ballungsraum;"Postfach 120020, D-01001 Dresden";umweltamt@dresden.de;5;kartiert durch LH Dresden;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (411740.105 5652706.5626)";22;2;21;22;0;21;0;22;"69380698";07.05.2013;Suedhoehe 29;"1217";Zschertnitz;Kleinpestitz Mockritz;"1810,00";"174,00";"2372,00";"230,00";"5,0";"5,0";"2,0";"1,0";Reiheneckhaus;"4,0";Garage;"2,0";;;;;;"2013.0";;Erstbezug;Gehoben;Zentralheizung;Erdwaerme;"01217";01217 Zschertnitz;street_address;RANGE_INTERPOLATED;1659;>60-65 dB(A);Dresden - Ballungsraum;"Postfach 120020, D-01001 Dresden";umweltamt@dresden.de;5;kartiert durch LH Dresden;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (411740.105 5652706.5626)";23;2;22;23;0;22;0;23;"69382398";07.05.2013;Suedhoehe 29;"1217";Zschertnitz;Kleinpestitz Mockritz;"1810,00";"174,00";"2372,00";"230,00";"5,0";"5,0";"2,0";"1,0";Reiheneckhaus;"4,0";Garage;"2,0";;;;;;"2013.0";;Erstbezug;Gehoben;Zentralheizung;;"01217";01217 Zschertnitz;street_address;RANGE_INTERPOLATED;1659;>60-65 dB(A);Dresden - Ballungsraum;"Postfach 120020, D-01001 Dresden";umweltamt@dresden.de;5;kartiert durch LH Dresden;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (411740.105 5652706.5626)";24;2;23;24;0;23;0;24;"69381898";07.05.2013;Suedhoehe 29;"1217";Zschertnitz;Kleinpestitz Mockritz;"1764,00";"182,00";"2372,00";"237,00";"3,0";"3,0";"2,0";"1,0";Reihenmittelhaus;"4,0";Garage;"2,0";;;;;;"2013.0";;Erstbezug;Gehoben;Zentralheizung;;"01217";01217 Zschertnitz;street_address;RANGE_INTERPOLATED;1659;>60-65 dB(A);Dresden - Ballungsraum;"Postfach 120020, D-01001 Dresden";umweltamt@dresden.de;5;kartiert durch LH Dresden;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (419587.2081 5651614.4641)";25;0;24;25;0;24;0;25;"69507703";22.05.2013;Oberonstr. 12 A;"1259";Dresden;Kleinzschachwitz;"985,00";"147,00";"178,00";"20,00";"3,0";"3,0";"2,0";"1,0";Reihenmittelhaus;"2,0";Aussenstellplatz;"1,0";;;;;;"1994.0";;Neuwertig;Gehoben;Zentralheizung;Gas;"01259";01259 Dresden;street_address;ROOFTOP;0;;;;;0;;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (408253.7159 5667963.9677)";26;0;25;26;0;25;0;26;"49676694";22.05.2013;Volkersdorferstr. 3;"1468";Moritzburg;Meissen;"1490,00";"200,00";"2000,00";;"3,0";"3,0";"3,0";"1,0";Einfamilienhaus freistehend;"2,0";Garage;"3,0";;Ja;;;;"1928.0";"2009.0";Saniert;Gehoben;Zentralheizung;Oel;"01468";01468 Moritzburg;street_address;ROOFTOP;0;;;;;0;;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (424941.1181 5649784.3986)";27;0;26;27;0;26;0;27;"69642677";22.05.2013;Ahornstr. 16;"1796";Pirna;Pirna;"1100,00";"176,00";"725,00";"190,00";"3,0";"3,0";"2,0";;Einfamilienhaus freistehend;"1,0";Carport;"2,0";;;;;;"2013.0";;Erstbezug;Gehoben;Zentralheizung;Erdwaerme;"01796";01796 Pirna;street_address;ROOFTOP;0;;;;;0;;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (402971.7978 5663566.3371)";28;0;27;28;0;27;3;28;"59013990";22.05.2013;Obere Johannisbergstr. 25;"1445";Radebeul;Meissen;"1902,00";"211,43";"0,00";;"0,0";"0,0";"2,0";"1,0";Doppelhaushaelfte;"3,0";Aussenstellplatz;;;;;;;;;Neuwertig;Luxus;Etagenheizung;;"01445";01445 Radebeul;route;GEOMETRIC_CENTER;0;;;;;0;;1.00000000000;3.00000000000;2003.00000000000;264747.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (402971.7978 5663566.3371)";29;0;28;29;0;28;3;29;"69136921";22.05.2013;Obere Johannisbergstr. 27;"1445";Radebeul;Meissen;"1916,00";"212,91";"0,00";;"3,0";"3,0";"2,0";"1,0";Doppelhaushaelfte;"3,0";Aussenstellplatz;;;;;;;;;Neuwertig;Luxus;Etagenheizung;;"01445";01445 Radebeul;route;GEOMETRIC_CENTER;0;;;;;0;;1.00000000000;3.00000000000;2003.00000000000;264747.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (402971.7978 5663566.3371)";30;0;29;30;0;29;3;30;"69136968";22.05.2013;Obere Johannisbergstr. 23;"1445";Radebeul;Meissen;"1659,00";"237,00";"539,00";"776,00";"4,0";"4,0";"3,0";"1,0";Reihenmittelhaus;"3,0";Garage;;;;;;;"2008.0";;Neuwertig;Luxus;Etagenheizung;;"01445";01445 Radebeul;route;GEOMETRIC_CENTER;0;;;;;0;;1.00000000000;3.00000000000;2003.00000000000;264747.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (402971.7978 5663566.3371)";31;0;30;31;0;30;3;31;"62362916";22.05.2013;Obere Johannisbergstr. 17;"1445";Radebeul;Meissen;"1665,00";"185,00";;;"3,0";"3,0";"2,0";"1,0";Einfamilienhaus freistehend;"3,0";Aussenstellplatz;;;Ja;;;;;;Neuwertig;Luxus;Etagenheizung;Gas;"01445";01445 Radebeul;route;GEOMETRIC_CENTER;0;;;;;0;;1.00000000000;3.00000000000;2003.00000000000;264747.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (397257.0493 5656765.4869)";32;0;31;32;0;31;0;32;"66774157";22.05.2013;Heinrich Heine Str. 10 d;"1723";Wilsdruff;Saechsische Schweiz Osterzgebirge;"725,00";"115,00";"220,00";;"4,0";"4,0";"1,0";"1,0";Reiheneckhaus;"2,0";Aussenstellplatz;"1,0";;;;;;"2000.0";;Gepflegt;Normal;Zentralheizung;Gas;"01723";01723 Wilsdruff;street_address;ROOFTOP;0;;;;;0;;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (399538.3186 5668932.6)";33;0;32;33;0;32;3;33;"69162226";22.05.2013;Lutherstr. 4;"1689";Weinboehla;Meissen;"890,00";"122,00";"380,00";"154,00";"3,0";"3,0";"1,0";"1,0";Doppelhaushaelfte;"2,0";Aussenstellplatz;"2,0";;;;;;"2013.0";;Erstbezug;Gehoben;Zentralheizung;;"01689";01689 Weinboehla;street_address;ROOFTOP;0;;;;;0;;2.00000000000;1.00000000000;1016.00000000000;164517.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (431087.2725 5648682.0869)";34;0;33;34;0;33;0;34;"69725379";22.05.2013;Hohlergasse 2b;"1847";Lohmen;Saechsische Schweiz Osterzgebirge;"650,00";"165,00";"820,00";"190,00";"1,0";;"1,0";"1,0";Einfamilienhaus freistehend;"2,0";Garage;"2,0";;Ja;;;;"1985.0";;Gepflegt;;Zentralheizung;Gas;"01847";01847 Lohmen;street_address;ROOFTOP;0;;;;;0;;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (404261.4612 5674812.7044)";35;0;34;35;0;34;0;35;"69636716";22.05.2013;Parkstrasse 25;"1561";Nauenhof;Ebersbach;"900,00";"200,00";"1000,00";"40,00";"3,0";"3,0";"2,0";"1,0";Einfamilienhaus freistehend;"2,0";Garage;"2,0";;Ja;;;;"2001.0";;Neuwertig;Gehoben;Zentralheizung;Gas;"01561";01561 Nauenhof;street_address;ROOFTOP;0;;;;;0;;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (425405.2918 5647071.6395)";36;0;35;36;0;35;3;36;"69818327";27.05.2013;Karl Buettner Str. 30 A;"1796";Pirna;Saechsische Schweiz Osterzgebirge;"680,00";"100,00";"400,00";;"2,0";"2,0";"1,0";;Doppelhaushaelfte;"1,0";Aussenstellplatz;"2,0";;;;;;;"2013.0";Erstbezug nach Sanierung;Gehoben;Zentralheizung;Solarheizung Gas;"01796";01796 Pirna;street_address;ROOFTOP;0;;;;;0;;2.00000000000;1.00000000000;1016.00000000000;159181.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (402971.7978 5663566.3371)";37;0;36;37;0;36;3;37;"69859461";31.05.2013;Obere Johannisbergstr. 17;"1445";Radebeul;Meissen;"1500,00";"163,30";;;"3,0";"3,0";"2,0";"1,0";Einfamilienhaus freistehend;"3,0";Aussenstellplatz;;;Ja;;;;;;Neuwertig;Gehoben;Etagenheizung;Gas;"01445";01445 Radebeul;route;GEOMETRIC_CENTER;0;;;;;0;;1.00000000000;3.00000000000;2003.00000000000;264747.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (396621.9551 5658878.2684)";38;0;37;38;0;37;0;38;"69669607";31.05.2013;Winkelwiese 5;"1665";Klipphausen;Meissen;"712,50";"125,00";"257,00";"125,00";"4,0";"4,0";"1,0";"1,0";Reiheneckhaus;"2,0";Garage;"1,0";;;;;;"1997.0";;Gepflegt;Normal;Zentralheizung;Gas;"01665";01665 Klipphausen;street_address;ROOFTOP;0;;;;;0;;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (414886.7473 5650724.9476)";39;2;38;39;0;38;0;39;"69942598";06.06.2013;Schoenbergstr. 46;"1239";Dresden;Lockwitz;"329,00";"45,30";"0,00";;"1,0";;"1,0";;Mehrfamilienhaus;;;;;;;;;;;;;;;"01239";01239 Dresden;street_address;RANGE_INTERPOLATED;1626;>50-55 dB(A);Dresden;"Postfach 120020, D-01001 Dresden";umweltamt@dresden.de;9;kartiert durch LH Dresden;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (414839.6377 5650693.222)";40;0;39;40;0;39;0;40;"69998721";17.06.2013;Schoenbergstr. 55;"1239";Dresden;Lockwitz;"725,35";"100,00";"0,00";;"1,0";;"1,0";;Mehrfamilienhaus;;;;;;;;;;;;;;;"01239";01239 Dresden;street_address;RANGE_INTERPOLATED;0;;;;;0;;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (432377.7298 5666256.493)";41;0;40;41;0;40;0;41;"70002183";17.06.2013;Saarstr. 9;"1900";Grossroehrsdorf;Bautzen;"600,00";"140,00";"850,00";"160,00";"2,0";"2,0";"2,0";"1,0";Einfamilienhaus freistehend;"2,0";Aussenstellplatz;"2,0";;Ja;;;Ja;"1835.0";"2012.0";Modernisiert;Gehoben;Zentralheizung;Gas;"01900";01900 Grossroehrsdorf;street_address;ROOFTOP;0;;;;;0;;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (419780.5464 5645483.1751)";42;0;41;42;0;41;0;42;"70111609";18.06.2013;Burgstr. 1;"1809";Dohna;Saechsische Schweiz Osterzgebirge;"340,00";"73,70";"73,70";"737,00";"1,0";"1,0";"1,0";;Mehrfamilienhaus;"2,0";;;;Ja;;;;;"2013.0";Erstbezug nach Sanierung;Normal;Etagenheizung;;"01809";01809 Dohna;street_address;ROOFTOP;0;;;;;0;;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (418543.1742 5651674.4738)";43;0;42;43;0;42;0;43;"70180620";16.07.2013;Am Alten Elbarm 26;"1257";Dresden;Leuben;"960,00";"120,00";"280,00";;"3,0";"3,0";"2,0";"1,0";Reiheneckhaus;"3,0";Aussenstellplatz;"2,0";;;;;;"1998.0";"2013.0";Gepflegt;;Etagenheizung;Gas;"01257";01257 Dresden;street_address;ROOFTOP;0;;;;;0;;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (406693.8091 5658592.9793)";44;2;43;44;1;43;8;44;"70447294";16.07.2013;Zschorner Grundstr. 4a;"1157";Dresden;Briesnitz;"1133,00";"142,50";"142,50";;"1,0";;"1,0";"1,0";Reihenhaus;;Aussenstellplatz;"1,0";;;;;;;;Saniert;;Zentralheizung;;"01157";01157 Dresden;street_address;ROOFTOP;1659;>60-65 dB(A);Dresden - Ballungsraum;"Postfach 120020, D-01001 Dresden";umweltamt@dresden.de;5;kartiert durch LH Dresden;3.00000000000;4.00000000000;3020.00000000000;282279.00000000000;2.00000000000;2.00000000000;1011.00000000000;9.00000000000;825938.00000000000
"POINT (404202.1109 5653206.3065)";45;0;44;45;0;44;0;45;"70185639";16.07.2013;Wurgwitzer Str. 64;"1705";Freital;Saechsische Schweiz Osterzgebirge;"800,00";"157,03";"95,00";;"3,0";"3,0";"1,0";"1,0";Reiheneckhaus;"2,0";Aussenstellplatz;"1,0";;Ja;;;;"1995.0";;Vollstaendig renoviert;Normal;Zentralheizung;Gas;"01705";01705 Freital;street_address;ROOFTOP;0;;;;;0;;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
